Statement,Link,Date,Source,Label,category
“Wisconsin has more votes than people who are registered to vote. … This is direct evidence of fraud.”,https://www.politifact.com/factchecks/2020/nov/04/tweets/no-wisconsin-doesnt-have-more-ballots-cast-registe/,"ember 4, 2020",Tweets,pants-fire,fake
"Voters in Maricopa County, Ariz., were forced to vote using Sharpie pens that aren’t read by voting machines.",https://www.politifact.com/factchecks/2020/nov/04/facebook-posts/voting-machines-dont-read-ballots-filled-sharpies-/,"ember 4, 2020",Facebook posts,FALSE,fake
“NOT A JOKE: Ilhan Omar Tells Residents ‘You Don’t Have to be Registered to Vote’ in Minnesota.”,https://www.politifact.com/factchecks/2020/nov/04/sean-hannity/sean-hannity-falsely-suggests-ilhan-omar-encourage/,"ember 4, 2020",Sean Hannity,FALSE,fake
“Trump has won the election with 294 electoral votes.”,https://www.politifact.com/factchecks/2020/nov/04/facebook-posts/no-trump-hasnt-won-election-and-neither-has-biden/,"ember 4, 2020",Facebook posts,FALSE,fake
An image shows “what appears to be an official ballot box being taken away from a polling location by an unidentified civilian.”,https://www.politifact.com/factchecks/2020/nov/04/facebook-posts/fact-checking-misleading-photo-caption-about-phila/,"ember 4, 2020",Facebook posts,FALSE,fake
“We already have won” the election.,https://www.politifact.com/factchecks/2020/nov/04/donald-trump/trump-falsely-and-prematurely-claims-2020-presiden/,"ember 4, 2020",Donald Trump,pants-fire,fake
"“Only sign outside Bucks County voting place. Democrats shown, republicans blurred out. … More scamming in Pennsylvania!”",https://www.politifact.com/factchecks/2020/nov/04/tweets/no-sign-outside-pennsylvania-poll-isnt-voting-scam/,"ember 3, 2020",Tweets,FALSE,fake
"“If Biden wins the election, there are people out there planning on mass murdering poc and lbgtq+ people. Please stay inside during the election and a few days after.”",https://www.politifact.com/factchecks/2020/nov/03/facebook-posts/unfounded-election-day-social-media-posts-warn-mas/,"ember 3, 2020",Facebook posts,FALSE,fake
"""Deep RED cities are not boarding up"" and the National Guard is ""not being called in, in case Biden wins.""",https://www.politifact.com/factchecks/2020/nov/03/instagram-posts/nonpartisan-reality-national-guard-troops-deployed/,"ember 3, 2020",Instagram posts,FALSE,fake
"A poll worker in Erie County, Pa., threw out over 100 ballots for Donald Trump.",https://www.politifact.com/factchecks/2020/nov/03/tweets/no-ballots-trump-werent-thrown-out-poll-worker-pen/,"ember 3, 2020",Tweets,FALSE,fake
Stacks of bricks are showing up in Denver because “the Evil Left is getting ready to destroy downtown.”,https://www.politifact.com/factchecks/2020/nov/03/viral-image/no-bricks-denver-arent-being-staged-riots/,"ember 3, 2020",Viral image,FALSE,fake
"“Trump supporters are blocking access to polling sites at Clifton City Hall, New Jersey.”",https://www.politifact.com/factchecks/2020/nov/03/facebook-posts/no-trump-supporters-arent-blocking-access-voting-s/,"ember 3, 2020",Facebook posts,FALSE,fake
Bricks are being “randomly placed all over Detroit.”,https://www.politifact.com/factchecks/2020/nov/03/facebook-posts/police-say-bricks-detroit-are-construction-project/,"ember 3, 2020",Facebook posts,FALSE,fake
“Biden says he doesn’t need voters to get elected.”,https://www.politifact.com/factchecks/2020/nov/03/tiktok-posts/video-misrepresents-bidens-speech-michigan/,"ember 3, 2020",TikTok posts,FALSE,fake
“Kohl's confirmed that they will be selling BLM merchandise” but are not selling “back the blue” at this time.,https://www.politifact.com/factchecks/2020/nov/03/facebook-posts/kohls-has-t-shirt-line-promotes-racial-equality-it/,"ember 3, 2020",Facebook posts,FALSE,fake
“Antifa gearing up for false flag violence disguised as Trump-supporters.”,https://www.politifact.com/factchecks/2020/nov/03/blog-posting/flyer-encouraging-antifa-disguise-themselves-trump/,"ember 3, 2020",Bloggers,FALSE,fake
"Broken voting machines in Russellville, Ark., tried to automatically tally votes meant for Donald Trump as votes for Joe Biden.",https://www.politifact.com/factchecks/2020/nov/03/viral-image/facebook-post-exaggerates-isolated-voting-hiccup-a/,"ember 3, 2020",Viral image,barely-true,fake
Pennsylvania officials are “attempting to silence voters” by sending them letters that say they’ve been exposed to COVID-19 and “must remain quarantined and not vote in person on Election Day.”,https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/pennsylvania-residents-under-covid-19-quarantine-c/,"ember 2, 2020",Facebook posts,barely-true,fake
"In Massachusetts, ""anybody can go vote for anybody so long as they have their information. … They're not even checking IDs at the polling stations.""",https://www.politifact.com/factchecks/2020/nov/02/tiktok-posts/video-gives-misleading-impression-mass-voting-rule/,"ember 2, 2020",TikTok posts,barely-true,fake
"Says President Trump’s Oct. 31 rally in Butler, Pa., drew over 57,000 people.",https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/trumps-butler-pa-rally-drew-thousands-supporters-t/,"ember 2, 2020",Facebook posts,FALSE,fake
Says Nancy Pelosi’s son served on the Burisma board with Hunter Biden.,https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/no-nancy-pelosis-son-didnt-serve-burisma-board/,"ember 2, 2020",Facebook posts,FALSE,fake
"“Kamala’s husband, a lawyer, represents the Communist Chinese Party in America!! Think about that!!”",https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/no-evidence-kamala-harris-husband-represents-chine/,"ember 2, 2020",Facebook posts,FALSE,fake
“Dems have removed any mention of ‘God’ from their Platform.”,https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/democratic-partys-2020-platform-includes-mention-g/,"ember 2, 2020",Facebook posts,FALSE,fake
Photo shows Joe Biden “doesn’t wear a mask on a plane.”,https://www.politifact.com/factchecks/2020/nov/02/tweets/photo-biden-plane-without-face-mask-pandemic/,"ember 2, 2020",Tweets,FALSE,fake
Says his supporters were “protecting” Joe Biden’s campaign bus in Texas.,https://www.politifact.com/factchecks/2020/nov/02/donald-trump/fact-checking-trumps-claim-his-supporters-were-pro/,"ember 1, 2020",Donald Trump,pants-fire,fake
"“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”",https://www.politifact.com/factchecks/2020/nov/01/donald-trump/trumps-misleading-attack-bidens-health-care-plan/,"ember 1, 2020",Donald Trump,barely-true,fake
"“We will be over 290 electoral votes on Election Night ... no matter what they (Democrats) try to do, what kind of hijinks or lawsuits or whatever kind of nonsense they try to pull off.”",https://www.politifact.com/factchecks/2020/nov/01/jason-miller/trump-spokesman-jason-miller-paints-dubious-pictur/,"ember 1, 2020",Jason MIller,FALSE,fake
"Say Joe Biden told a crowd in Florida, ""Hello Minnesota!""",https://www.politifact.com/factchecks/2020/nov/01/facebook-posts/video-clip-joe-biden-saying-hello-minnesota-was-do/,"ember 1, 2020",Facebook posts,pants-fire,fake
"A lawsuit against the Affordable Care Act backed by West Virginia Attorney General Patrick Morrisey “would eliminate health care for over 800,000 West Virginians.”",https://www.politifact.com/factchecks/2020/nov/01/sam-brown-petsonk/how-many-west-virginians-would-lose-coverage-if-la/,"ember 1, 2020",Sam Brown Petsonk,barely-true,fake
“Joe Biden called Black youth super predators.”,https://www.politifact.com/factchecks/2020/nov/01/donald-trump/no-biden-did-not-call-black-youth-super-predators/,"ember 1, 2020",Donald Trump,FALSE,fake
Queens voters received pre-marked ballots for Joe Biden.,https://www.politifact.com/factchecks/2020/nov/01/tweets/no-evidence-queens-voters-received-pre-marked-ball/,"ember 1, 2020",Tweets,FALSE,fake
"“Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""",https://www.politifact.com/factchecks/2020/nov/01/donald-trump/donald-trumps-false-claim-doctors-inflate-covid-19/,"ember 1, 2020",Donald Trump,FALSE,fake
James Biden “built the cages” and “(the Bidens) made millions from it.”,https://www.politifact.com/factchecks/2020/nov/01/tiktok-posts/no-joe-bidens-brother-didnt-build-cages-along-us-m/,"ember 1, 2020",TikTok posts,pants-fire,fake
“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”,https://www.politifact.com/factchecks/2020/nov/01/instagram-posts/green-new-deal-would-not-require-99-homes-be-torn-/,"ember 1, 2020",Instagram posts,FALSE,fake
Photo shows a “clearly intoxicated” Kamala Harris “throwing up in the bushes & staggering aimlessly at the Cleveland airport.”,https://www.politifact.com/factchecks/2020/oct/31/viral-image/no-photo-doesnt-show-intoxicated-kamala-harris/,"ober 31, 2020",Viral image,pants-fire,fake
"Says the toddler shown in a photo clinging to a police officer was found wandering, alone and barefoot, looking for his mother amid protests in Philadelphia.",https://www.politifact.com/factchecks/2020/oct/31/facebook-posts/toddler-photo-wasnt-found-lost-philadelphia-he-was/,"ober 31, 2020",Facebook posts,FALSE,fake
“‘America is dead’ — Joe Biden actually said this at his Iowa rally.”,https://www.politifact.com/factchecks/2020/oct/31/blog-posting/no-joe-biden-didnt-say-america-dead/,"ober 31, 2020",Bloggers,FALSE,fake
Says Sean Connery wrote a letter to Steve Jobs refusing to be an Apple spokesman.,https://www.politifact.com/factchecks/2020/oct/31/viral-image/fake-sean-connery-letter-steve-jobs-spreads-wake-h/,"ober 31, 2020",Viral image,FALSE,fake
“COVID ends next Wednesday.”,https://www.politifact.com/factchecks/2020/oct/31/viral-image/no-coronavirus-pandemic-wont-end-day-after-electio/,"ober 31, 2020",Viral image,FALSE,fake
“How many of you still don't know that Michelle Obama was born Michael Lavaughn Robinson and is a man?”,https://www.politifact.com/factchecks/2020/oct/31/facebook-posts/no-michelle-obama-not-transgender-woman/,"ober 31, 2020",Facebook posts,pants-fire,fake
“There are people trying to make legal age of consent 4 years old.”,https://www.politifact.com/factchecks/2020/oct/31/facebook-posts/no-evidence-people-are-trying-lower-age-consent-4/,"ober 31, 2020",Facebook posts,FALSE,fake
“Miami-Dade reporting 23% of early ballots being rejected for missing signatures.”,https://www.politifact.com/factchecks/2020/oct/30/facebook-posts/false-post-inflates-number-rejected-mail-ballots-m/,"ober 30, 2020",Facebook posts,FALSE,fake
The number of coronavirus deaths is “almost nothing.”,https://www.politifact.com/factchecks/2020/oct/30/donald-trump-jr/donald-trump-jr-claims-covid-19-deaths-almost-noth/,"ober 30, 2020",Donald Trump Jr.,pants-fire,fake
"“On 60 Minutes, Joe said he never met with Hunter and the Burisma CEO. Well, here he is with both.”",https://www.politifact.com/factchecks/2020/oct/30/viral-image/no-photo-doesnt-show-joe-and-hunter-biden-burisma-/,"ober 30, 2020",Viral image,FALSE,fake
Says YouTube removed Tucker Carlson’s interview with Tony Bobulinski.,https://www.politifact.com/factchecks/2020/oct/30/facebook-posts/no-youtube-didnt-remove-tucker-carlsons-interview-/,"ober 30, 2020",Facebook posts,FALSE,fake
Says Jeff Foxworthy wrote a ‘fence test’ for Republicans and Democrats.,https://www.politifact.com/factchecks/2020/oct/30/facebook-posts/no-jeff-foxworthy-didnt-write-fence-test/,"ober 30, 2020",Facebook posts,FALSE,fake
“Joe Biden calls Pennsylvania voters who don’t support him ‘chumps.’”,https://www.politifact.com/factchecks/2020/oct/30/viral-image/biden-called-trump-supporters-disrupting-his-rally/,"ober 30, 2020",Viral image,barely-true,fake
Says Trump “didn’t campaign on cutting the debt” … “That’s not what he promised to do.”,https://www.politifact.com/factchecks/2020/oct/30/ted-cruz/federal-debt-was-frequent-talking-point-during-tru/,"ober 30, 2020",Ted Cruz,FALSE,fake
“I can send every qualified person to a four-year college in their state for $150 billion.”,https://www.politifact.com/factchecks/2020/oct/30/joe-biden/biden-misstates-price-his-free-public-college-plan/,"ober 30, 2020",Joe Biden,FALSE,fake
“The majority of minimum wage workers...are mothers.”,https://www.politifact.com/factchecks/2020/oct/30/abigail-spanberger/are-majority-minimum-wage-earners-mothers-spanberg/,"ober 30, 2020",Abigail Spanberger,FALSE,fake
“Major decision protecting voting rights in Pa. Ballots received after Election Day will not be counted.”,https://www.politifact.com/factchecks/2020/oct/29/justin-clark/fact-checking-trump-campaign-tweet-pa-mail-ballots/,"ober 29, 2020",Justin Clark,barely-true,fake
"“When asked about court-packing, Biden's staff immediately escorts the camera out.”",https://www.politifact.com/factchecks/2020/oct/29/donald-trump/trump-campaign-uses-cherry-picked-video-attack-bid/,"ober 29, 2020",Donald Trump,FALSE,fake
Says Kamala Harris said looters are just feeding their hungry kids.,https://www.politifact.com/factchecks/2020/oct/29/facebook-posts/kamala-harris-has-condemned-looting/,"ober 29, 2020",Facebook posts,FALSE,fake
"Says Jill Biden said, “Whatever is on Hunter’s laptop is not important.”",https://www.politifact.com/factchecks/2020/oct/29/viral-image/no-jill-biden-didnt-say-about-hunter-bidens-laptop/,"ober 29, 2020",Viral image,FALSE,fake
“The Columbia school buildings in my district have the lowest test scores in all of Boone County.”,https://www.politifact.com/factchecks/2020/oct/29/cheri-toalson-reisch/toalson-reisch-about-columbia-schools-test-scores/,"ober 29, 2020",Cheri Toalson Reisch,barely-true,fake
"Counting ballots for weeks after Election Day “is totally inappropriate, and I don't believe that's by our laws.""",https://www.politifact.com/factchecks/2020/oct/28/donald-trump/donald-trump-wrong-winner-has-be-announced-electio/,"ober 28, 2020",Donald Trump,pants-fire,fake
Sen. Kamala Harris “may have broken laws” when she visited a voting site in Ohio,https://www.politifact.com/factchecks/2020/oct/28/facebook-posts/no-harris-did-not-break-ohio-law-election-site-vis/,"ober 28, 2020",Facebook posts,FALSE,fake
"“Because our family couldn’t afford health insurance, Obama/Biden penalized us about $10,000, then took that $10,000 and used it to pay for others’ free Obamacare. Trump ended that theft.”",https://www.politifact.com/factchecks/2020/oct/28/facebook-posts/10000-obamacare-penalty-doubtful/,"ober 28, 2020",Facebook posts,barely-true,fake
Photo shows Joe Biden’s license plate says “THEBIGGUY.”,https://www.politifact.com/factchecks/2020/oct/28/viral-image/no-photo-doesnt-show-bidens-car-big-guy-license-pl/,"ober 28, 2020",Viral image,pants-fire,fake
"Says Clint Eastwood called Joe Biden an “incompetent, lying, flip-flopping, insincere, double-talking, radical socialist.”",https://www.politifact.com/factchecks/2020/oct/28/viral-image/old-fake-clint-eastwood-quote-about-obama-turns-fa/,"ober 28, 2020",Viral image,pants-fire,fake
Says someone tried to suppress votes by disguising trash cans as ballot boxes.,https://www.politifact.com/factchecks/2020/oct/28/instagram-posts/ad-history-exhibit-philadelphia-mistaken-attempt-s/,"ober 28, 2020",Instagram posts,FALSE,fake
"“In Nevada, they want to have a thing where you don’t have to have any verification of the signature” on ballots.",https://www.politifact.com/factchecks/2020/oct/28/donald-trump/trumps-misleading-claim-about-ballot-signatures-ne/,"ober 28, 2020",Donald Trump,FALSE,fake
Says North Carolina just landed an auto plant.,https://www.politifact.com/factchecks/2020/oct/28/donald-trump/trump-wrong-about-auto-plant-coming-north-carolina/,"ober 28, 2020",Donald Trump,FALSE,fake
“Joe Biden confirmed his plan to abolish the entire U.S. oil industry.”,https://www.politifact.com/factchecks/2020/oct/28/donald-trump/fact-checking-trumps-claim-biden-said-he-would-abo/,"ober 28, 2020",Donald Trump,FALSE,fake
"“President Obama would never give them long-term funding, and I did … I saved historically Black colleges and universities.”",https://www.politifact.com/factchecks/2020/oct/27/donald-trump/trumps-exaggerated-claim-he-saved-hbcus-2019-fundi/,"ober 27, 2020",Donald Trump,barely-true,fake
Says Joe Biden said “Why am I doing this? Why? What is my real aim?”,https://www.politifact.com/factchecks/2020/oct/27/donald-trump/biden-was-quoting-pope-francis-not-expressing-conf/,"ober 27, 2020",Donald Trump,FALSE,fake
Says photo of Malia Obama's credit card next to white powder was found on Hunter Biden's laptop.,https://www.politifact.com/factchecks/2020/oct/27/instagram-posts/malia-obama-credit-card-photo-isnt-new-and-theres-/,"ober 27, 2020",Instagram posts,FALSE,fake
“More suicide deaths than coronavirus death past two months.”,https://www.politifact.com/factchecks/2020/oct/27/tom-brady/no-suicides-have-not-outpaced-covid-19-deaths/,"ober 27, 2020",Tom Brady,FALSE,fake
"""Joe Biden says he supports sex changes for kids.""",https://www.politifact.com/factchecks/2020/oct/27/american-principles-project/conservative-groups-claim-joe-biden-backs-sex-chan/,"ober 27, 2020",American Principles Project,FALSE,fake
U.S. is “really not doing (COVID-19) reporting right” because deaths are being improperly counted and hospitals have an “incentive” to pad stats.,https://www.politifact.com/factchecks/2020/oct/27/donald-trump/trump-wrong-claim-us-padding-covid-19-stats/,"ober 27, 2020",Donald Trump,FALSE,fake
“CAN I CHANGE MY VOTE? ... The answer in most states is YES.”,https://www.politifact.com/factchecks/2020/oct/27/donald-trump/donald-trump-says-you-can-change-your-vote-most-st/,"ober 27, 2020",Donald Trump,barely-true,fake
Says Hunter Biden “died of a crack overdose.”,https://www.politifact.com/factchecks/2020/oct/27/facebook-posts/hunter-biden-alive-despite-social-media-claims-abo/,"ober 27, 2020",Facebook posts,FALSE,fake
“Biden admits to voter fraud.”,https://www.politifact.com/factchecks/2020/oct/27/kayleigh-mcenany/white-house-press-secretary-mcenany-takes-bidens-w/,"ober 27, 2020",Kayleigh McEnany,FALSE,fake
Says photo from Hunter Biden's laptop shows Paul Pelosi Jr. abusing a girl and doing drugs.,https://www.politifact.com/factchecks/2020/oct/27/facebook-posts/no-photo-paul-pelosi-jr-doesnt-show-him-abusing-gi/,"ober 27, 2020",Facebook posts,FALSE,fake
"Says Troy Nehls “called wearing masks 'un-American' and called those who do 'communists.'""",https://www.politifact.com/factchecks/2020/oct/27/sri-preston-kulkarni/texas-house-race-kulkarni-distorts-nehls-take-mask/,"ober 27, 2020",Sri Preston Kulkarni,FALSE,fake
"""The daughter of Sen. Coons (D-DE), along with 7 other underaged girls are featured on Hunter's laptop! - Breitbart News""",https://www.politifact.com/factchecks/2020/oct/26/facebook-posts/no-evidence-hunter-biden-had-photos-coons-daughter/,"ober 26, 2020",Facebook posts,FALSE,fake
"""We have a mayor in D.C. who formed a commission with recommendations. Her recommendation is: Take down the Washington Monument, close up the Lincoln Monument.""",https://www.politifact.com/factchecks/2020/oct/26/donald-trump/trump-wrongly-accuses-dc-mayor-calling-removal-was/,"ober 26, 2020",Donald Trump,barely-true,fake
"The coronavirus ""was constructed in the Wuhan Institute of Virology.”",https://www.politifact.com/factchecks/2020/oct/26/scott-perry/pa-rep-scott-perry-airs-debunked-claim-wuhan-lab-c/,"ober 26, 2020",Scott Perry,FALSE,fake
A yearbook photo shows Mark Kelly dressed as Adolf Hitler.,https://www.politifact.com/factchecks/2020/oct/25/blog-posting/no-mark-kelly-did-not-dress-hitler/,"ober 25, 2020",Bloggers,FALSE,fake
"""Biden slipped up and came out saying he’s going to tax your 401k. Are any of you EVEN paying attention?""",https://www.politifact.com/factchecks/2020/oct/25/facebook-posts/bidens-tax-plan-wont-tax-401k-accounts/,"ober 25, 2020",Facebook posts,FALSE,fake
Says Joe Biden had an iPad at his podium during the debate.,https://www.politifact.com/factchecks/2020/oct/25/facebook-posts/presidential-candidates-had-notepads-podiums-not-i/,"ober 25, 2020",Facebook posts,FALSE,fake
"Says Donald Trump “voted twice” in the Nov. 3, 2020 election",https://www.politifact.com/factchecks/2020/oct/25/facebook-posts/no-trump-did-not-vote-twice-nov-3-election/,"ober 25, 2020",Facebook posts,pants-fire,fake
"""Generally the deaths are still pretty flat because we've flattened the curve.”",https://www.politifact.com/factchecks/2020/oct/23/ron-johnson/us-sen-ron-johnson-confuses-and-misses-claim-about/,"ober 23, 2020",Ron Johnson,barely-true,fake
"As part of the Obama administration's criminal justice reforms, “38,000 prisoners were released from federal prison.”",https://www.politifact.com/factchecks/2020/oct/23/joe-biden/biden-wrongly-claims-obama-policies-released-38000/,"ober 23, 2020",Joe Biden,barely-true,fake
Says Texas has “lower taxes and less regulations than anywhere else in the U.S.”,https://www.politifact.com/factchecks/2020/oct/23/roger-williams/no-texas-does-not-have-lowest-taxes-and-fewest-reg/,"ober 23, 2020",Roger Williams,FALSE,fake
"Says Joe Biden owns four $3 million -$7.5 million homes on a $200,000 salary.",https://www.politifact.com/factchecks/2020/oct/23/viral-image/facebook-post-misstates-number-biden-owned-propert/,"ober 23, 2020",Viral image,barely-true,fake
"Says Karen Handel ""slashed the Centers for Disease Control's ability to fight diseases, cutting millions in research funding.""",https://www.politifact.com/factchecks/2020/oct/23/lucy-mcbath/georgia-rep-lucy-mcbath-cherry-picks-attack-karen-/,"ober 23, 2020",Lucy McBath,barely-true,fake
"“We're starting to reach almost herd immunity in this nation, so we'll be on the downside of this virus very soon.""",https://www.politifact.com/factchecks/2020/oct/23/vicky-hartzler/hartzlers-claim-isnt-close-were-long-way-away-herd/,"ober 23, 2020",Vicky Hartzler,FALSE,fake
Michigan has been “like a prison” during the coronavirus.,https://www.politifact.com/factchecks/2020/oct/23/donald-trump/trump-says-michigan-during-coronavirus-pandemic-ha/,"ober 23, 2020",Donald Trump,FALSE,fake
Says Donald Trump said “good” during the final presidential debate in reference to families being separated at the border.,https://www.politifact.com/factchecks/2020/oct/23/facebook-posts/trump-did-not-say-good-when-talking-about-family-s/,"ober 23, 2020",Facebook posts,FALSE,fake
"Foxconn hasn't hit job targets on its massive Wisconsin factory because ""No. 1, you had a pandemic.""",https://www.politifact.com/factchecks/2020/oct/23/donald-trump/trump-wrong-blame-pandemic-foxconn-struggles/,"ober 23, 2020",Donald Trump,FALSE,fake
"“They have 180 million people, families under what he wants to do, which will basically be socialized medicine — you won’t even have a choice — they want to terminate 180 million plans.”",https://www.politifact.com/factchecks/2020/oct/23/donald-trump/trumps-misguided-claim-bidens-health-plan-will-ter/,"ober 23, 2020",Donald Trump,pants-fire,fake
"“When I closed (travel from China) he said I should not have closed. ...He said this is a terrible thing, you are a xenophobe, I think he called me racist. Now he says I should have closed it earlier.”",https://www.politifact.com/factchecks/2020/oct/23/donald-trump/trump-repeats-flawed-claim-biden-opposed-trumps-co/,"ober 23, 2020",Donald Trump,barely-true,fake
"""We are rounding the turn (on coronavirus). We are rounding the corner.""",https://www.politifact.com/factchecks/2020/oct/23/donald-trump/no-fight-against-coronavirus-isnt-rounding-corner-/,"ober 23, 2020",Donald Trump,FALSE,fake
Pennsylvania “never opened.”,https://www.politifact.com/factchecks/2020/oct/23/donald-trump/fact-checking-trumps-claim-pennsylvania-never-open/,"ober 22, 2020",Donald Trump,FALSE,fake
Says Mark Kelly took to space a “Chinese communist banner.”,https://www.politifact.com/factchecks/2020/oct/23/martha-mcsally/mark-kelly-did-not-take-chinese-communist-banner-s/,"ober 22, 2020",Martha McSally,FALSE,fake
The “3 red stripes” in Joe Biden’s campaign logo refer to a Chinese socialist slogan.,https://www.politifact.com/factchecks/2020/oct/22/facebook-posts/biden-campaign-logo-does-not-pay-homage-chinese-so/,"ober 22, 2020",Facebook posts,pants-fire,fake
"Says Biden said, ""The day after I’m elected I will let you know what I stand for, bc if I tell you now it will be all over the news.""",https://www.politifact.com/factchecks/2020/oct/22/facebook-posts/joe-biden-did-not-say-he-would-wait-till-after-ele/,"ober 22, 2020",Facebook posts,barely-true,fake
"Kamala Harris’ husband said, “I am married to the next president of the United States.”",https://www.politifact.com/factchecks/2020/oct/22/facebook-posts/video-kamala-harris-husband-saying-hes-married-nex/,"ober 22, 2020",Facebook posts,barely-true,fake
A video shows ballots being changed in Maryland.,https://www.politifact.com/factchecks/2020/oct/22/facebook-posts/maryland-elections-officials-say-video-doesnt-show/,"ober 22, 2020",Facebook posts,FALSE,fake
“Leftists” sent “Proud Boys” emails threatening Democratic voters.,https://www.politifact.com/factchecks/2020/oct/22/blog-posting/officials-think-iran-sent-fake-proud-boys-emails-t/,"ober 22, 2020",Bloggers,FALSE,fake
"""California sends 440,000 ballots to ineligible voters.""",https://www.politifact.com/factchecks/2020/oct/22/instagram-posts/no-evidence-california-sent-440000-nov-3-ballots-i/,"ober 22, 2020",Instagram posts,FALSE,fake
“Phony” ballots “were printed without my name on it.”,https://www.politifact.com/factchecks/2020/oct/21/donald-trump/fact-checking-trumps-overblown-statement-about-bal/,"ober 21, 2020",Donald Trump,barely-true,fake
Says Joe Biden repeatedly told Americans he's going to raise their taxes.,https://www.politifact.com/factchecks/2020/oct/21/donald-trump/trump-campaign-ad-takes-biden-out-context-three-ti/,"ober 21, 2020",Donald Trump,FALSE,fake
"In the plot to kidnap Michigan Gov. Gretchen Whitmer, “the perps were ANTIFA and BLM anarchists.”",https://www.politifact.com/factchecks/2020/oct/21/viral-image/looking-ideologies-whitmer-kidnapping-plot-suspect/,"ober 21, 2020",Viral image,barely-true,fake
Says Dr. Anthony Fauci wrote a paper blaming 1918-19 flu deaths on masks.,https://www.politifact.com/factchecks/2020/oct/21/facebook-posts/dr-anthony-fauci-didnt-blame-masks-1918-19-flu-dea/,"ober 21, 2020",Facebook posts,FALSE,fake
"“Hunter Biden was chairman of the World Food Program, which just won the Nobel Peace Prize. Eric Trump, Donald J Trump Jr, Ivanka Trump are banned from ever operating a charity again because they stole donations to children with cancer.""",https://www.politifact.com/factchecks/2020/oct/21/left-action/fact-checking-claims-about-charities-linked-hunter/,"ober 21, 2020",Left Action,FALSE,fake
Photo shows Joe Biden next to a man seen in a sex sting video.,https://www.politifact.com/factchecks/2020/oct/21/facebook-posts/no-viral-photo-doesnt-show-biden-next-man-seen-sex/,"ober 21, 2020",Facebook posts,pants-fire,fake
Says “we will know which candidate you voted for.”,https://www.politifact.com/factchecks/2020/oct/21/emails/threat-wrongly-says-author-email-can-find-out-if-f/,"ober 21, 2020",Emails,pants-fire,fake
“We saved 2 million people” from dying of COVID-19.,https://www.politifact.com/factchecks/2020/oct/21/donald-trump/trump-says-he-prevented-2-million-covid-19-deaths-/,"ober 21, 2020",Donald Trump,barely-true,fake
“The boilermakers union has endorsed me because I sat down with them and went into great detail with leadership [about] exactly what I would do.”,https://www.politifact.com/factchecks/2020/oct/21/joe-biden/no-boilermakers-union-didnt-endorse-joe-biden/,"ober 21, 2020",Joe Biden,FALSE,fake
"Says NBC News’ Kristen Welker “gave thousands of dollars to Obama, Clinton and Biden, is registered as a Democrat & her family spent Christmas with the Obamas at the White House.”",https://www.politifact.com/factchecks/2020/oct/20/facebook-posts/no-nbc-news-debate-moderator-isnt-democratic-mega-/,"ober 20, 2020",Facebook posts,FALSE,fake
If you know someone's name and date of birth you can change their votes on Oregon’s voting website.,https://www.politifact.com/factchecks/2020/oct/20/blog-posting/4chan-users-spread-false-information-about-oregons/,"ober 20, 2020",Bloggers,pants-fire,fake
A photo shows women who “gathered to scream at Trump through their vaginas.”,https://www.politifact.com/factchecks/2020/oct/20/viral-image/photo-shows-art-project-not-trump-protest/,"ober 20, 2020",Viral image,FALSE,fake
"Says “Hunter Biden had 25,000 pics of him torturing and raping children under age 10 in China on his laptop.”",https://www.politifact.com/factchecks/2020/oct/20/facebook-posts/fact-checking-unproven-claims-about-hunter-biden-a/,"ober 20, 2020",Facebook posts,FALSE,fake
A mansion in photo is Joe Biden’s house.,https://www.politifact.com/factchecks/2020/oct/20/eric-trump/eric-trump-misidentifies-mansion-bidens/,"ober 20, 2020",Eric Trump,barely-true,fake
"Says since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs.""",https://www.politifact.com/factchecks/2020/oct/20/mike-pence/pence-uses-outdated-numbers-tout-wisconsin-job-gai/,"ober 20, 2020",Mike Pence,FALSE,fake
Photo shows Ice Cube and 50 Cent wearing Donald Trump hats.,https://www.politifact.com/factchecks/2020/oct/20/viral-image/altered-photo-shows-ice-cube-50-cent-trump-hats/,"ober 20, 2020",Viral image,FALSE,fake
"Pennsylvania rejected 372,000 mail-in ballots",https://www.politifact.com/factchecks/2020/oct/19/facebook-posts/pennsylvania-rejected-372000-ballot-applications-n/,"ober 19, 2020",Facebook posts,FALSE,fake
"Says Anthony Fauci was indicted “for crimes including treason, conspiring with the enemy and fraud.”",https://www.politifact.com/factchecks/2020/oct/19/facebook-posts/no-anthony-fauci-hasnt-been-indicted/,"ober 19, 2020",Facebook posts,pants-fire,fake
